 daa ; petit  garçon  son  fils 
 nokon  daa  wanakat  daa ;  petit  garçon  oobwiny  daa  son  petit-fils 
 ame ; ic 
 koio  daa ; le  petit  garçon  hoit  de  t'eau 
 daai ; exposer  quelque  chose  au  soleil  (pour  !le  faire  sécher) 
 dooi  + ; et  ++ 
 ocgeme  daai ; jee  wahenu 
 me  ame  dei ; je  mets  le  coprah  au  soleil  pour  qu'il  sêche  0.  dooi 
 beleiketr ; étaler  des  couvertu-  res  au  soleil  (c£.  dei) 
 dâ ; a.  baguette  de  bois  épointée  b. 
 nom ; des  chevrons,  gaulettes  verti-  cales 
 de ; la  charpente  du  toit 
 dâä ; piquer 
 doo  +  et ; ++ 
 däâ  Waa ; piquer  le  poisson  -doo 
 waâ ;  piquer  du  poisson 
 doo  nya  me ; piquer 
 déà  hmokoo ; transpercer  quelque  chose 
 dään!  sa ; pique 
 dook  OO ; ma  sagaie 
 dääm  00 ; ta 
 —  dâân  pTe) ; sa 
 —  dook  ûâde ; mon  trident 
 däèm  ûde ; ton  — 
 dâän  üde  son  —  dâän  hele  son ; couteau  (c£.  dâä) 
 dâân”  jus, ; liquide 
 déân  hau ; rosée 
 dëän  utoo ; sève 
 dêän  we  eau ; de  pluie 
 déân  wanu ; la%ÿ  de  coco  dâtr5-pas  asseà-cuit 
 de-!  préfixe  .  .  grappe ; de,  troupe  de, 
 file  de  debuaka ; troupe 
 de ; cochons 
 denu  grappe  de ; cocos 
 devic  main  de  bananes  L  de-?  préfixe  °  deba  Î  lait  maternel  dekoio  larmes  L  L3  dea  poisson ; loche  saumdpëe,  Cephalo- 
