 acewahic ; nom  de  deux  petites  porcelaines  blanches  attachées  ensemble  (ancienne  monnaie  traditionnelle) 
 adraba ; dent  de  sagesse 
 waadraba ; nom  d'un  petit  coquillage   
 adre-  (=  are-); indice  personnel  sujet  3ème  pers.  du  pluriel :  ils,  elles  (nombreux)  (+  marque  temporelle
 adreme  =  areme; ils,  elles  (+  présent)
 adremaa  =  aremaa ; ils,  elles  (+  futur)
 adree  =  aree ; ils,  elles  (+  passé)
 adree  (=  aree); ils,  elles  (+  passé)
 adree  kuc  u ; ils  t'ont  battu  (cf.  adre-)
 adreem ; autrefois
 haba  adreem  me  helââng ; autrefois,  c'était  comme  ça
 adremaa  (=  aremaa); ils,  elles  (+  futur)
 adremaa  han ; ils  mangeront  (cf.  adre-)
 adreme  (=  areme); ils,  elles  (+  présent)
 adreme  han ; ils  mangent  (cf.  adre-)
 aeak ; Mille-pattes
 aeâ ;" a.  oiseau  héron,  ""long-cou"",  Ardea  sacra  albolineata  b.  nom  d'un  casse-tête  en  forme  de  bec  d'oiseau"
 aeâân ; son  conjoint  (époux,  épouse)
 aeöök ; Mon  —
 aeââm ; Ton  —
 moomo  aeâân  thaan ; l'épouse  du  chef
 aec ; poisson :  requin
 aen ; coquillage :  Turbo  sp.
 ahmëtr ; desséché  par  le  feu,  noirci  par  la  fumée    
 ahnyöng; asticot
 waahnyöng; un  asticot 
