 bweenâ ; plante : Desmodium  umbellatum  (L.)  DC.,  Légumineuse 
 bwi  1 ; rêve,  rêver 
 ogee  bwi ; j'ai  fait  un  rêve 
 bwiik ; mon  rêve  
 bweem ; ton  — 
 bwiiny ; son  —  (cf.  boo) 
 bwi 2 ; nom  d'un  petit  lézard  (beige  clair) 
 bwic ; (cf.  bwec  chasser,  écarter  [volaille,  insecte]) 
 bwihitr ; dans : ut-bwihitr  bagayou,  ancien  étui  pénien 
 bwihlaany ; part  que  l'on  ramène  d'une  fête,  don  
 bwihlaany  köö  hmiihmi ; cadeau  pour  l'oncle  maternel 
 bwilöö ; enveloppe  du  bounia  (feuilles  de  bananier) 
 
 ca 1 ; attacher,  lier  quelque  chose 
 ce  ++ ;
 ca  ke  tap ; attacher  un  brancard 
 ce  utöö ; attacher  des  bois 
 ca 2 ; pied,  jambe  
 caan ; son  pied 
 ca 3 ; préfixe : manche  de 
 cafana ; arc 
 cahele ; manche  de  couteau 
 cagö ; manche  de  hache 
 ca 4 ; préfixe : tige  de 
 cau ; tige  d'igname 
 caa 1 ; négation : ne...pas 
 ame  caa  wâ ; il  ne  le  voit  pas 
 ame  caa  wâ  hmetu ; il  ne  le  voit  plus 
 caa  mwede ! ; ne  fais  pas  de  bruit !
 caa 2 ; dans  les  exclamations,  marque  une  insistance :
 caa  ûhanen  ! ; comme  il  est  gourmand !
 caa  unââkiny  miitr !; comme  la  viande 
