; Î 
 44  1  —en ; a.  suffixe  marquant  l'appartenan-  °  ce 
 . ; de,  à 
 veto ; pierre 
 veten  inyâ ; pierre  du  four 
 wasaû ; passe 
 wasaüen  aec ; la  passe  du  requin  socle 
 tap ; support, 
 taben  otr ; pierres,  supports  de  mar-  mite  ... 
 koio ; eau 
 koien  waagewe ; eau  de  la  rivièëre  koien  hnyimen  salive,  bave 
 tang ;  panier 
 tangen ; ovic  panier  à  bananes  at  homme,  individu  aten  hu  équipage  du  bateau  t  ‘ 
 aten  hnyei ; habitant  du  pays  b.  suffixe  transitif  (avec  certains  verbes)  Lj 
 oot ; crainte 
 outen ; craindre  quelqu'un 
 ûlubaahing ; attente  $  K 
 halubaahingen ; attendre  quelqu'un  enaa  raccommoder  le  filet  d  ÿi 
 enei ; poisson  mulet  (taille  adulte),  Mugil  macrolepis,  M.  seheli,  M.  cepha-  Lus  [  ! 
 eneu ; uneû)  écailler 
 hû  Ê ; ++ 
 en  wâ ; écailler  le  poisson  X\ 
 hû ; Ë 
 û  wäâ  Ê ; écailler  du  poisson  Ë  H  eng!  reconnaître,  identifier  quelqu'un,  déchiffrer  quelque  chose  p 
 ing  +  eng  Mmoomo ; reconnaître  la  femme  te  reconnaître 
 ing  u  ing  Paulo ; reconnaître  Paul  oiseau 
 .  . ; eng°  canard  sauvage  des  marais,  i  Anas  superciliosa  pelewensis 
 enge ; tante  paternelle  (vocatif) 
