 batrii ; plante : Salvia  coccinea  Jus.,  Labiée 
 baaû ; en  vain,  sans  importance,  sans  valeur 
 bwele  baaû ; détourner  les  yeux 
 elääm  baaûâ  [baaûœ]; chercher  quelque  chose  en  vain 
 ûnyi  baaû; chose  sans  valeur 
 tavëët  baaû ; gens  du  commun,  sans  importance 
 baavëk ; vingt  (cf.  baa-  et  vëk) 
 baawakeiat ; auriculaire,  petit  doigt  (cf.  baa-  et  wakeiat) 
 baaxaca ; cinq  (cf.  baa-  et  xaca) 
 baxalaû ; lisse,  uni 
 bâ ; se  réfugier 
 hna  bâ ; refuge 
 bââk ;" caisse  (anglais  ""box"") "
 bâân ; devant,  en  avant,  en  tête,  précéder 
 ogeme  bwöök; je  vais  devant 
 umwe  bââm ; tu  vas  devant 
 ame  bâân ; il  va  devant 
 ame  bâân  huk ; il  me  précède 
 ame  bâân  hon ; il  le  précède 
 a  bâân ; avant,  auparavant 
 haba  a  bâân  me  e  bë  at  hnyi  hnyei  ; auparavant,  il  n'y  avait  personne  dans  le  pays 
 be ; préverbe  désidératif :  avoir  envie 
 be  han ; avoir  faim 
 be  ic ; avoir  soif 
 be  mokutr ; avoir  sommeil 
 be  hnyekon ; convoiter,  désirer 
 be  wâ; aimer  bien,  apprécier 
 be  weeny ; désirer 
 bee ; particule  optative : que...!  (souhait) 
 bee  he  dhö !  ; Vas-y !
 caa  bee  anyâ  ! ; ne  fais  pas  ça !  (cf. mee) 
 bebehû ; vite,  rapidement 
 ame  huliwa  bebehû; il  travaille  vite 
 ame  haa  bebehûâ [bebehûœ]; il  parle  vite 
