 DH  dho ;  particule  postverbale  (c£.  la  va-  riante  do) 
 ame  huliwa  dho  11 ; travaille 
 e  be  dho ; il  n'y 
 en  a ; pas 
 olo  dho ; monter 
 ta  dho  entrer  !  !  he  dho  va ; préparez-vous 
 !  penapena  dho  obun  !  DR ; -dra!  (=  -ra)  suffixe  possessif  3êème  personne 
 du ; pluriel  collecti£f  leur 
 anyidra ; le  leur  (à  eux  tous)  dra*  sang,  touge  drok  mon  sang.- 
 —  drâm  ton  dren  son  —  dro  Paulo ; 1e  sang  de  Paul 
 dren  wanakat ; le  sang  de  l'enfant 
 draimen  carreau ;" (figure  de  jeu  de  car-  tes  (anglais  ""diamond"""") "
 drakonyen ; son  pàvillon  d'oreille 
 draany ; ciel,  clarté  du  jour 
 dravec ; gratter 
 dravic  + ; et 
 ++  dravec  waholok ; gratter  le  bouton 
 drawâääu ; oiseau 
 : ;" stourne  des  Loyauté,  “merle  noir”"",  Aplonis  striatus  atro-  nitens "
 dreik ; sol  aménagé  de  l'habitat  (terre  battue,  ciment),  dalle 
 drem! ; lécher 
 drim  + ; et 
 ++  drem  wanakat ; I1lécher  l'enfant  drim  nya  me  lécher 
 drem* ; plante 
 : ; Breynia  disticha  Forst.,  Euphorbiacée 
 Üdrem ; pied  de  — 
 ledrem ; feuille  de  — 
 dremet ; mousses  (se  collent  sur  les  ba-  teaux) 
