 wacing ; fruit  de  palétuvier 
 bacing ; bout  de —  
 gacing ; rangée  de  — 
 ciööbök ; pêche  au  harpon  qu'on  pratiquait  autrefois  sur  la  côte  soulevée  (à  Cöu) 
 ciöÖû ; (cf.  ciââû  tresser)  
 ciroon ; cuire  sous  la  cendre  
 citr 1 ; (cf.  cetr 1  interroger,  examiner)  
 citr 2 ; (cf.  cetr 2  tracer,  ouvrir  une  route)
 citröu ; bouillir  (eau)  
 oocitröuâ ; faire  bouillir 
 cöö ; étayer  quelque  chose,  soutenir,  défendre  quelqu'un 
 cii  +  et  ++ ;
 cöö  uma ; étayer  la  maison  
 cii  u ; te  soutenir,  prendre  ta  défense 
 cööcö ; superficiel,  peu  profond  
 e  cööcö  köiö ; l'eau  n'est  pas  profonde  
 cök ; coincé 
 aa  cök  cu  wathââ ; le  ballon  est  resté  coincé
 cöök ; épais,  épaisse  (soupe,  sauce)  
 cöu ; nom  de  la  côte  soulevée  à  l'est  d'Ouvéa  (côté  falaise) 
 
 chala 1 ; cicatrice  sur  la  peau  
 chala 2 ; dans : wachala  coquillage  huître  perlière,  Pinctada  margaritifera 
 chalaa ; couper,  éplucher  (avec  un  couteau) 
 chalöö  ++ ;
