 â 1; poisson-lait : Chanos  chanos  et  Megalops  cyprinoides 
 -â 2 ; suffixe  transitif 
 belökâ ; cultiver  quelque  chose  (cf.  belök) 
 hanâ ; féstoyer  à  l'occasion  de  quelque  chose  (cf.  han) 
 kâcâ ; fuir avec quelque chose, mettre à l'abri (cf. han)
 olâ ; cuire  quelque  chose  (cf.  ötr) 
 sehnyinâ ; se  réjouir  de  quelque  chose  (cf.  sehnyin) 
 vëëtâ ; se  battre  avec  quelque  chose  (cf.  vëët) 
 walakâ ; jouer  avec  quelque  chose,  jouer  à  quelque  chose  (cf.  walak) 
;
 ba- ; préfixe : bout  de,  pousse  de,  bouture  de 
 baanginy ; bout  de  branche 
 badeetr ; bouture  de  patate  douce 
 badrem ; pousse  de  Breynia  disticha,  Euphorbiacée 
 bahatong ;  bouture  de  taro  d'eau 
 bakonying ;  plant  de  taro 
 basei ; fleur  signifie  aussi  ce  qui  s'échappe,  ce  qui  déborde 
 bahime ; urine 
 bahingolo ; débordement 
 basäân  vapeur  (qui  sort) ;
 baa- ; a.  préfixe  des  noms  de  doigts 
 baanyen ; son  doigt  de  main 
 baacaan ; son  doigt  de  pied 
 baathap ; index 
 baaxoûo ; médius 
 baawakeiat ; petit  doigt,  auriculaire  b.  préfixe  de  numération  (correspond  à  la  palme  des  cing  doigts) 
 baaxaca ; cinq 
 baalo ; dix 
 baakun ; quinze 
