 cangö ;  locatif : près  du  feu 
 inya  cangö ; je  suis  près  du  feu 
 cap ; nom  d'une  danse 
 caap ; a.  sauter  de  branche  en  branche  (comme  un  singe)  b.  être  contagieuse  (maladie) 
 mok  caap ; maladie  contagieuse 
 caapaun ; clone  de  bananier 
 ce ; (cf.  ca 1  attacher,  lier) 
 cea ; chaise  (anglais  "chair")  
 ceönyiin ; s'étrangler  (cf.  nyiin)  
 cehngöc ; morve   
 hnulo  cehngöc ; se  moucher 
 cekön ; planter,  mettre  en  terre 
 ûen  cekön ; époque  des  plantations 
 cekönâ ; planter  quelque  chose 
 cekonii ++ ;
 -celec ; plante : piment,  Solanacée 
 wacelec ; piment  (fruit) 
 ûcelec ; pied  de  piment 
 cem ; sucer, suçoter 
 cim  +  et  ++ ;
 cem  ke  boobo ; sucer  un  bonbon 
 ûcim  hnyimëk ; embrasser  
 cen ; plante : Smilax  purpurata  Forst.,  Liliacée  
 cetr 1 ; interroger,  examiner  
 citr  + ; 
 cetr 2 ; tracer,  ouvrir  (une  route) 
 citr  ++ ; 
 cetr  ke  gedhen ; ouvrir  une  route 
 hna  citr  gedhen ; route  faite  à  l'outil 
 ci ; boiter,  s'appuyer,  étai,  contre-fiche 
 ame  ci  but ; il  boite 
 uuci ; canne  (cf.  coo)  
 cii ; (cf.  cöö  étayer,  soutenir) 
 ciâ ; jalouser  quelqu'un 
 cioo  + ;
 ciâ  ke  at ; jalouser  quelqu'un 
 ciöö  nya ; me  jalouser 
