 cu ; particule  postverbale,  variante  de  ju 2,  marquant  l'ingressif,  le  changement  d'état..  à  l'impératif,  marque  l'invite  à  faire  quelque  chose
 aa  mok  cu ; il  est  mort 
 hok  cu  deiö  ! ; pousse-toi !
 ip  cu ! ; dépose-le !  
 tootr ; (c)u !  (=tootru !)  arrête-toi  !  
 cuba ; a.  plante  :  palétuvier,  Rhizophora  mucronata  Lam.,  Rhizophoracée  b.  mangrove  
 cubwec ; tenter,  mettre  à  l'épreuve  
 cubwic  +  et  ++  ;
 cubwec  wanakat ; éprouver  l'enfant  
 cubwic  öhmun ; nous  mettre  à  l’épreuve 
 ûcubwic ; l'examen,  l'épreuve  
 hna  cubwec ; la  tentation  (subie)  
 walaang  bongon  hna  cubwic  ödru ; voici  comment  on  les  mit  tous  deux à  l'épreuve  
 cubwic ; (cf.  cubwec  tenter,  mettre  à  l'épreuve)  
 cucuhwa ; pétarade  continue  (ex.  moteur  qui  démarre) (cf.  cuhwa) 
 cuhwa ; claquer,  exploser,  claquement 
 cûûk ; crier  (de  façon  perçante),  pépier  (oiseaux) 
 
 chau ; turban 
 chechaamök ; sans  gêne,  effronté, mal poli 
 choori ; coquillage  cérithe  noduleux 
 chuang ; feinter (au  jeu) 
