 baakun  ke  nua  vëk ; dix-neuf  (cf.  baa-  et  kun) 
 balaa ; continuellement,  sans  s'arrêter 
 ame  he  balaa  dhö; il  continue  à  avancer 
 anyâ  balaa ; continuer  à  faire  quelque  chose 
 e  hiaa  balaa ; il  n'est  toujours  pas  là 
 balainoon ; l'os  de  sa  hanche  (cf.  balainu) 
 balainu ; pétiole,  base  de  la  palme  de  cocotier 
 ubalainu ; un  pétiole  coupé  (sert  de  raquette) 
 balââk ;" poulie  (sur  le  mât)  (anglais  ""block"") "
 bale ;" plante  (français  ""'balai"")"
 bale  papaale ; Sida  acuta  Burm.  f.,  Malvacée
 baletr 1 ; larve  de  cétoine  (coléoptère)  qui  vit  en  terre
 baletr 2 ; petit  poisson  qu'on  trouve  dans  les  puits
 baletr 3 ; crochet  pour  attraper  les  fruits  (cocos,  etc.) 
 baalo ; dix  (cf.  baa-  et  Lo) 
 balua ; définitivement,  complètement,  pour  toujours 
 at  aa  mok  balua  ju ; l'homme, il est bien mort
 ban 1; a. sa tête, son dessus b. sur, au-dessus de
 bwök  ban ; ma  tête
 bâm ; ta  — 
 ban; sa –    
 ban  thaan ; la tête du chef
 bwö  Paulo; la  tête  de  Paul
 ban uma; le toit
 ame  ip  nya  edhöö  ban  kic; il  me  pose  en  haut  sur  le  rocher 
 ban 2; dans :
 ta ban; champs d'ignames wailei  (Dioscorea  esculenta) 
 aten  ta  ban ; cultivateurs  de  walei 
 bana ; plante : ambrevade,  Cajanus  cajan  Schinz Guillaum.,  Légumineuse  à
