; 42 
 drok ;" canard  domestique  (anglais  ‘’duck"""") "
 droodro ; champignon  comestible 
 : ; pézize 
 drohmun ; plante 
 : ; fougêre,  Microsortum  punctatum  (L.)  Copel.,  Polypodiacée  14  -drok  plante 
 :  üdrok ; pied  d'Hernandia  ovigera  L.,  |  Hernandiacée  “î 
 wadrok ; fruit  de  —  Î 
 droom ; crabe  terrestre  (Sesarma  interme-  î  dium  de  Haan)  |  drou  cendres,  chaux 
 drouma ; période  de  pleine  lune  ä  I‘|  #} 
 e  1 ; pronom'personnel  3ème  personne  du  singulier 
 : ; lui,  elle  (peut  aussi  avoir  un  sens  impersonnel  :  c'est) 
 e  bi ; lui-même  e  sehnyin  1l  est  content  & 
 sCO ; c'est  bien  î  at 
 a  e  gaan ; l'homme  grand  :  :  2 
 e ;" a  là  (peu  éloigné,  proche  de  l'in-  terlocuteur)  b.  en  ce  moment  l;  \ "
 ee ; là  (sans  mouvement) 
 käâe ; vers  lä  (avec  mouvement) 
 umwe  hoo  e  ? ; que  fais-tu  en  ce  mo-  ment  ? 
 umwe  huliwa  e  hobikäu  thaan ; tu  tra-  vailles  en  ce  moment  pour  le  che£f  e—  préfixe  locatif  (sans  mouvement)  î  |  eang  ici  (proche  du  locuteur) 
 ee ; 1à  (proche  de  l'interlocuteur)  elee  lä-bas  (loin) 
 eu ; 1ä  (vers  la  mer,  côté  lagon)  eio  1ä  (vers  Cou,  vers  la  falaise) 
 eläâ ; à  côté  eling  lä-bas  1äà-haut  edhoo  ejii  en  bas  ejo  au  pied  du  locuteur  ee  C  locatif 
 : ;" 1ä  (peu  éloigné,  proche  de  l'interlocuteur)  L)Î/  E  ;  suffixe  démonstratif "
 °  . ; ce...là 
