; |  | 
 40  detr ; accrocher,  ferrer  (poisson) 
 ditr  + ; et 
 ++  detr  wââ  ge  wage ; (=  der  wââ  ge  wage)  accrocher  le  poisson  ä  l'hameçon  à 
 wage  hnâäân  ditr  wâä ; (=  wage  hnäân  dir 
 wâä) ; l'hameçon  pour  accrocher  des  poissons  h 
 -deetr ; dans 
 .  .  badeetr ; bouture  de  patate  douce 
 ûdeetr ; a.  plante 
 : ; Ipomoea  pes-caprae  R.  Br.,  Convolvulacée  b.  massif  de  patates  douces 
 wadeetr ; tubercule  d'Ipomoea  pes-  caprae 
 devic ; main  de  banahes  (c£.  de-!  et  -vic) 
 - ; dichapwe  poisson  e  perroquet,  Scarus  VEenosus 
 didio ; alêne  pour  toiture  diget  navette  pour  filet  digic  (c£.  degec  jeter)  ditr!  profond 
 ûdi ; Liny  sa  profondeur 
 oodi  Lä ; approfondir  ditr“  pénêtrer,  entrer,  sa  coucher  (soleil) 
 ame  he  but  seûno  ka  ditr ; ie  soleil  va  se  coucher  Bat 
 ditr  ut ; sortir  v} 
 aa  ditr ; duong 
 gut ; il  est  sorti  en  se-  k  cret  ditr”  (c£.  detr  accrocher)  dodong  cuire  directement  sur  les  pier-  res  du  four  Î 
 dodongä ; cuire  quelque  chose  dodongii  ++  |  î  dok  endroit 
 uudok ;" endroit  délimité,  zone  précise  do  _  particule  postverbale,  marquant  le  ponctuel,  le  momentané;  à  l'impératif, "
 .  . ; marque  l'injonction  la  plus  neutre 
