 ai; suffixe  directionnel  aprës  noms  locatifs  et  toponymes : vers
 öl  hoot  ai ; monter  à  terre,  débarquer 
 ogeme  keec  ut  Hwaadrila ai;  je  fuis  vers  Hwaadrila  
 aai  1; découvrir  (ex.  enlever  la  paille  du  toit,  la  couverture  du  four),  dégager 
aai uma; enlever  la  paille  du  toit
 aai  2; natte  rustique  en  palme  de  cocotier  (utilisée  pour  tapisser  les  parois) 
 jee  aii = jee esaai; les  palmes  de  cocotier  tressées
 tangaai; panier  en  feuille  de  cocotier    
 ailapë; plante : Malvastrum  coromandelianum  Garcke,  Malvacée     
 aiö-; verbe  injonctif : venir
 aiöu  ka  han !; viens  manger !
 aiöbun ! ; venez ! 
;
 ajilaat ; herbe  (terme  général)
 ajilaat  papanu; algues
 saajilaat; pelouse
 ajilenu; nervure centrale des folioles de la palme de cocotier
 waajilenu; une  nervure  d'une  foliole  (cf.  jilenu)
 ajinyök  ; canne  à  pêche
 ajinyöp  ;" plante : ""faux  tabac"",  Messerschmidia  argentea  (L.)  Johnst.,  Borraginacée  (médicament  contre  la  gratte)"
 ajûen      ; sa  clavicule
 ajûök; ma -
 ajûâm  [ajûœm]; ta  -
 ak; foie                     
 akik; mon  foie
 akâm; ton -
 akiny; son - 
 akaû; fumer  (du  poisson,  du  coprah)
 hokoû  ++;
 akaû  jee wââ ; fumer  les  poissons  
 hököû wäâ ; fumer  du  poisson       
 akofi  ; pincettes  (pour  pierres  du  four)
 aakû  ; canne  à  sucre
 hötöö  aakû ; cueillir  de  la  canne  à 
